date,group
2024-12-31,-0.0003985625078827143
2025-01-02,-0.027381552363868515
2025-01-03,-0.01182294810123436
2025-01-06,0.0031541658890481346
2025-01-07,0.00463874056739609
2025-01-08,0.0036439431710874166
2025-01-09,-0.010335319423325297
2025-01-10,-0.012071023133689995
2025-01-13,-0.005320739996485846
2025-01-14,0.01832110490484898
2025-01-15,-0.0007835040130477324
2025-01-16,0.00692921754058403
2025-01-17,-0.003759610280554009
2025-01-20,-0.002891638307790766
2025-01-21,-0.004127872465875515
2025-01-22,-0.012031266600455025
2025-01-23,0.013988320471295545
2025-01-24,0.004218475414967748
2025-01-27,0.007397514623149656
2025-02-05,-0.012785807299749428
2025-02-06,0.005463205230342838
2025-02-07,0.007373857721089859
2025-02-10,0.003272944428803446
2025-02-11,0.005938069170778939
2025-02-12,0.006641532372645317
2025-02-13,-0.0003108308740495313
2025-02-14,0.0027166652220264593
2025-02-17,0.0024676076384883634
2025-02-18,-0.0027700419314397244
2025-02-19,0.0004082110366338076
2025-02-20,-0.0019518492082078547
2025-02-21,-0.0003448602630675928
2025-02-24,-0.0019467947921105691
2025-02-25,-0.00964062784603377
2025-02-26,0.009868929012897624
2025-02-27,0.0042784179887960004
2025-02-28,-0.01285882814999092
2025-03-03,0.0007487927141468699
2025-03-04,-0.0029883771007979468
2025-03-05,0.007942184438719038
2025-03-06,0.0037772153395494792
2025-03-07,-0.0026555351816725634
2025-03-10,-0.005162533071805682
2025-03-11,0.004442528473163175
2025-03-12,-0.002001955148470774
2025-03-13,0.0013543516858312307
2025-03-14,0.012330905677734913
2025-03-17,0.0026538865522583175
2025-03-18,0.0001367780259043729
2025-03-19,0.002264933818498645
2025-03-20,-0.0033973000126801597
2025-03-21,-0.0077804047142636815
2025-03-24,0.0035507274474396154
2025-03-25,0.004234417839906059
2025-03-26,-0.00276656604593642
2025-03-27,0.0008147583203033803
2025-03-28,-0.006798034258047725
