date,group
2024-12-31,999601.4374921173
2025-01-02,972230.7983884286
2025-01-03,960736.1641166606
2025-01-06,963766.4853538923
2025-01-07,968237.1480470002
2025-01-08,971765.3491906192
2025-01-09,961721.8439022149
2025-01-10,950112.8772762963
2025-01-13,945057.573688996
2025-01-14,962372.0726376742
2025-01-15,961618.0502567175
2025-01-16,968281.3109178985
2025-01-17,964640.9505469033
2025-01-20,961851.5578210382
2025-01-21,957881.1572592492
2025-01-22,946356.6336847108
2025-01-23,959594.573556829
2025-01-24,963642.599673715
2025-01-27,970771.1598962912
2025-02-05,958359.066913703
2025-02-06,963594.7791806124
2025-02-07,970700.1899830753
2025-02-10,973877.2377619188
2025-02-11,979660.1881635962
2025-02-12,986166.6330174765
2025-02-13,985860.1019809772
2025-02-14,988538.3538338124
2025-02-17,990977.6786266714
2025-02-18,988232.6289037548
2025-02-19,988636.0363696349
2025-02-20,986706.3679048411
2025-02-21,986366.092087235
2025-02-24,984445.8397160451
2025-02-25,974955.1637407665
2025-02-26,984576.9270424821
2025-02-27,988789.3586784941
2025-02-28,976074.6862387076
2025-03-03,976805.5638522264
2025-03-04,973886.5004732783
2025-03-05,981621.2866824158
2025-03-06,985329.0816641009
2025-03-07,982712.5056222167
2025-03-10,977639.219811865
2025-03-11,981982.4098823603
2025-03-12,980016.5251411885
2025-03-13,981343.812174156
2025-03-14,993444.6701595043
2025-03-17,996081.1596100533
2025-03-18,996217.4016247053
2025-03-19,998473.7681082219
2025-03-20,995081.6531631671
2025-03-21,987339.5151778191
2025-03-24,990845.2886943027
2025-03-25,995040.9416613367
2025-03-26,992288.0951778198
2025-03-27,993096.570159504
2025-03-28,986345.46565401
